Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,VCH,VCD,VCA,WHH,WHD,WHA
SP1,18/08/12,Celta,Malaga,A,2.25,3.25,3.2,2.25,3.4,3.25,2.4,3.2,2.7,2.31,3.38,3.43,2.3,3.3,3.4,2.25,3.3,3.2
SP1,18/08/12,Mallorca,Espanol,H,2.0,3.3,3.8,2.0,3.3,4.1,2.1,3.2,3.2,2.0,3.56,4.17,2.0,3.5,4.1,2.05,3.25,3.8
SP1,18/08/12,Sevilla,Getafe,H,1.62,3.75,5.5,1.6,3.75,5.5,1.7,3.5,4.4,1.65,3.94,6.15,1.67,3.8,6.0,1.7,3.75,4.8
SP1,19/08/12,Ath Bilbao,Betis,A,1.83,3.5,4.2,1.85,3.5,4.1,1.8,3.4,4.0,1.89,3.77,4.41,1.87,3.7,4.33,1.91,3.5,4.0
SP1,19/08/12,Barcelona,Sociedad,H,1.1,9.0,26.0,1.08,10.0,23.0,1.12,7.0,14.0,1.1,12.0,31.0,1.1,12.0,31.0,1.07,11.0,29.0
SP1,19/08/12,Levante,Ath Madrid,D,3.2,3.4,2.2,3.1,3.4,2.3,2.6,3.2,2.5,3.48,3.44,2.26,3.4,3.4,2.25,3.1,3.3,2.3
SP1,19/08/12,Real Madrid,Valencia,D,1.25,6.0,10.0,1.26,5.75,9.75,1.25,5.0,10.0,1.27,6.52,12.44,1.25,6.5,12.0,1.25,5.5,10.0
SP1,20/08/12,La Coruna,Osasuna,H,2.0,3.4,3.75,1.95,3.4,3.8,2.2,3.2,3.0,2.04,3.49,4.11,2.05,3.4,4.0,2.1,3.25,3.6
SP1,20/08/12,Vallecano,Granada,H,2.2,3.3,3.3,2.15,3.3,3.3,2.1,3.2,3.2,2.31,3.42,3.39,2.3,3.4,3.4,2.15,3.3,3.4
SP1,20/08/12,Zaragoza,Valladolid,A,2.15,3.3,3.4,2.05,3.3,3.6,2.0,3.2,3.4,2.23,3.5,3.5,2.2,3.5,3.5,2.2,3.3,3.3
SP1,25/08/12,Betis,Vallecano,A,1.7,3.6,5.0,1.7,3.7,4.75,1.75,3.4,4.3,1.72,3.97,5.41,1.7,3.9,5.4,1.7,3.75,4.8
SP1,25/08/12,Espanol,Zaragoza,A,1.67,3.6,5.25,1.75,3.4,5.0,1.7,3.5,4.4,1.7,3.83,5.82,1.7,3.75,5.75,1.73,3.5,5.0
SP1,25/08/12,Malaga,Mallorca,D,1.91,3.5,4.0,1.9,3.4,4.0,1.9,3.3,3.7,1.94,3.61,4.35,1.92,3.6,4.3,1.83,3.5,4.33
SP1,25/08/12,Sociedad,Celta,H,2.0,3.4,3.75,2.1,3.25,3.75,2.1,3.3,3.1,2.08,3.46,3.99,2.1,3.4,3.9,2.0,3.3,3.75
SP1,26/08/12,Getafe,Real Madrid,H,9.5,5.5,1.29,10.5,5.5,1.26,8.5,4.8,1.3,10.81,5.47,1.34,10.5,5.4,1.33,9.5,5.5,1.29
SP1,26/08/12,Granada,Sevilla,D,3.0,3.25,2.38,3.0,3.25,2.45,2.7,3.2,2.4,2.98,3.41,2.55,3.0,3.4,2.5,2.9,3.3,2.38
SP1,26/08/12,Osasuna,Barcelona,A,12.0,6.0,1.22,11.0,6.25,1.22,10.0,5.0,1.25,15.37,6.66,1.24,15.0,6.5,1.22,12.0,6.0,1.22
SP1,26/08/12,Valencia,La Coruna,D,1.44,4.2,7.5,1.45,4.2,7.0,1.45,3.9,6.5,1.48,4.5,8.19,1.45,4.5,8.0,1.5,4.0,6.5
SP1,27/08/12,Ath Madrid,Ath Bilbao,H,1.6,4.0,5.5,1.67,3.8,5.25,1.65,3.5,4.6,1.62,4.13,6.2,1.6,4.1,6.25,1.62,3.75,5.5
SP1,27/08/12,Valladolid,Levante,H,2.05,3.4,3.5,2.1,3.2,3.6,2.15,3.2,3.1,2.1,3.44,3.93,2.1,3.4,3.9,2.1,3.25,3.6
SP1,01/09/12,Celta,Osasuna,H,2.0,3.3,3.75,2.0,3.3,4.0,2.1,3.2,3.2,2.11,3.43,3.95,2.1,3.4,3.9,2.0,3.4,3.75
