Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,2017,13/05/2017,20:00,Flamengo RJ,Atletico-MG,1,1,D,1.91,3.7,4.34,1.95,3.7,4.75,1.87,3.49,4.04
Brazil,Serie A,2017,13/05/2017,23:00,Corinthians,Chapecoense-SC,1,1,D,1.37,4.85,10.91,1.37,5,12.4,1.34,4.55,9.79
Brazil,Serie A,2017,14/05/2017,15:00,Fluminense,Santos,3,2,H,2.01,3.75,3.83,2.01,3.75,4.33,1.92,3.43,3.9
Brazil,Serie A,2017,14/05/2017,20:00,Avai,Vitoria,0,0,D,2.39,3.31,3.29,2.45,3.31,3.4,2.32,3.11,3.15
Brazil,Serie A,2017,14/05/2017,20:00,Bahia,Atletico-PR,6,2,H,1.73,3.61,5.91,1.79,3.61,6,1.72,3.37,5.25
Brazil,Serie A,2017,14/05/2017,20:00,Cruzeiro,Sao Paulo,1,0,H,2.04,3.29,4.32,2.05,3.34,4.5,1.99,3.19,3.95
Brazil,Serie A,2017,14/05/2017,20:00,Palmeiras,Vasco,4,0,H,1.42,4.96,8.52,1.44,4.96,9.4,1.4,4.41,7.88
Brazil,Serie A,2017,14/05/2017,20:00,Ponte Preta,Sport Recife,4,0,H,1.63,4.02,6.24,1.75,4.02,6.5,1.61,3.69,5.65
Brazil,Serie A,2017,14/05/2017,23:00,Gremio,Botafogo RJ,2,0,H,1.72,3.69,5.77,1.75,3.94,6.3,1.69,3.48,5.27
Brazil,Serie A,2017,16/05/2017,00:00,Coritiba,Atletico GO,4,1,H,1.63,3.79,6.75,1.69,3.79,6.75,1.6,3.6,5.99
Brazil,Serie A,2017,20/05/2017,20:00,Santos,Coritiba,1,0,H,1.6,4.14,6.3,1.67,4.3,6.8,1.58,3.88,5.56
Brazil,Serie A,2017,20/05/2017,23:00,Atletico GO,Flamengo RJ,0,3,A,4.42,3.52,1.94,4.6,3.52,2,4.02,3.32,1.92
Brazil,Serie A,2017,20/05/2017,23:00,Chapecoense-SC,Palmeiras,1,0,H,3.18,3.42,2.39,3.4,3.42,2.43,3.03,3.19,2.34
Brazil,Serie A,2017,21/05/2017,15:00,Vasco,Bahia,2,1,H,1.88,3.65,4.58,1.89,3.72,4.84,1.82,3.46,4.31
Brazil,Serie A,2017,21/05/2017,20:00,Atletico-MG,Fluminense,1,2,A,1.68,4.22,5.21,1.7,4.22,5.7,1.64,3.92,4.91
Brazil,Serie A,2017,21/05/2017,20:00,Atletico-PR,Gremio,0,2,A,2.63,3.13,3.07,2.7,3.15,3.07,2.53,3.02,2.89
Brazil,Serie A,2017,21/05/2017,20:00,Vitoria,Corinthians,0,1,A,3.25,3.36,2.38,3.32,3.36,2.5,3.13,3.12,2.32
Brazil,Serie A,2017,21/05/2017,22:00,Botafogo RJ,Ponte Preta,2,0,H,2.14,3.34,3.88,2.14,3.38,4,2.06,3.22,3.63
Brazil,Serie A,2017,21/05/2017,23:00,Sport Recife,Cruzeiro,1,1,D,2.73,3.21,2.88,3,3.25,2.9,2.61,3.13,2.72
Brazil,Serie A,2017,23/05/2017,00:00,Sao Paulo,Avai,2,0,H,1.33,5.3,11.75,1.36,5.6,13,1.32,4.82,9.71
Brazil,Serie A,2017,27/05/2017,20:00,Vasco,Fluminense,3,2,H,2.74,3.47,2.69,2.81,3.47,2.78,2.63,3.23,2.62
Brazil,Serie A,2017,27/05/2017,23:00,Sao Paulo,Palmeiras,2,0,H,2.57,3.28,3.01,2.63,3.28,3.1,2.47,3.11,2.9
Brazil,Serie A,2017,28/05/2017,01:00,Vitoria,Coritiba,0,1,A,2.23,3.32,3.63,2.23,3.35,3.8,2.14,3.19,3.46
Brazil,Serie A,2017,28/05/2017,15:00,Atletico-MG,Ponte Preta,2,2,D,1.55,4.17,7.15,1.57,4.3,7.5,1.51,4.1,6.09
Brazil,Serie A,2017,28/05/2017,20:00,Atletico GO,Corinthians,0,1,A,4.28,3.4,2.01,4.7,3.4,2.05,4.06,3.23,1.94
Brazil,Serie A,2017,28/05/2017,20:00,Atletico-PR,Flamengo RJ,1,1,D,2.99,3.32,2.53,3.2,3.35,2.66,2.87,3.13,2.48
Brazil,Serie A,2017,28/05/2017,20:00,Santos,Cruzeiro,0,1,A,1.96,3.58,4.25,2.03,3.58,4.25,1.97,3.31,3.86
Brazil,Serie A,2017,28/05/2017,22:00,Sport Recife,Gremio,4,3,H,1.94,3.41,4.62,1.98,3.5,4.62,1.89,3.29,4.23
Brazil,Serie A,2017,28/05/2017,23:00,Botafogo RJ,Bahia,1,0,H,2.06,3.33,4.04,2.11,3.56,4.68,1.99,3.27,3.86
Brazil,Serie A,2017,30/05/2017,00:00,Chapecoense-SC,Avai,2,0,H,1.6,3.85,7.16,1.62,3.85,7.25,1.58,3.62,6.19
Brazil,Serie A,2017,03/06/2017,20:00,Coritiba,Atletico-PR,1,0,H,1.93,3.36,4.8,1.94,3.58,5.1,1.86,3.27,4.4
Brazil,Serie A,2017,03/06/2017,22:00,Fluminense,Vitoria,2,1,H,1.58,4.22,6.46,1.58,4.45,6.8,1.53,4.05,5.92
Brazil,Serie A,2017,03/06/2017,23:00,Corinthians,Santos,2,0,H,1.75,3.7,5.51,1.86,3.7,5.54,1.74,3.45,4.9
Brazil,Serie A,2017,04/06/2017,15:00,Avai,Sport Recife,1,0,H,2.47,3.22,3.22,2.5,3.28,3.25,2.4,3.08,3.04
Brazil,Serie A,2017,04/06/2017,15:00,Flamengo RJ,Botafogo RJ,0,0,D,1.65,3.81,6.45,1.74,3.81,6.45,1.65,3.62,5.37
Brazil,Serie A,2017,04/06/2017,20:00,Gremio,Vasco,2,0,H,1.4,4.83,9.55,1.48,4.83,10,1.39,4.4,8.36
Brazil,Serie A,2017,04/06/2017,20:00,Palmeiras,Atletico-MG,0,0,D,1.76,3.83,5.14,1.79,3.94,5.14,1.73,3.69,4.53
Brazil,Serie A,2017,04/06/2017,20:00,Ponte Preta,Sao Paulo,1,0,H,2.45,3.29,3.19,2.56,3.29,3.19,2.44,3.12,2.94
Brazil,Serie A,2017,04/06/2017,23:00,Cruzeiro,Chapecoense-SC,0,2,A,1.56,3.95,7.79,1.6,3.95,7.79,1.53,3.73,6.59
Brazil,Serie A,2017,06/06/2017,00:00,Bahia,Atletico GO,3,0,H,1.48,4.69,7.37,1.49,4.8,7.95,1.45,4.27,6.92
Brazil,Serie A,2017,07/06/2017,00:00,Fluminense,Atletico-PR,1,1,D,1.71,3.88,5.46,1.72,3.96,6,1.63,3.67,5.43
Brazil,Serie A,2017,07/06/2017,23:30,Atletico-MG,Avai,1,0,H,1.32,5.54,11.57,1.35,5.54,12,1.31,5.03,9.66
Brazil,Serie A,2017,07/06/2017,23:30,Coritiba,Palmeiras,1,0,H,2.56,3.2,3.1,2.57,3.26,3.13,2.44,3.09,2.95
Brazil,Serie A,2017,08/06/2017,01:00,Santos,Botafogo RJ,1,0,H,1.75,3.85,5.18,1.76,3.86,5.6,1.7,3.57,4.91
Brazil,Serie A,2017,08/06/2017,01:45,Sport Recife,Flamengo RJ,2,0,H,3.23,3.33,2.4,3.3,3.34,2.54,3.05,3.15,2.35
Brazil,Serie A,2017,08/06/2017,01:45,Vasco,Corinthians,2,5,A,2.6,3.31,2.96,2.67,3.35,3.05,2.51,3.11,2.84
Brazil,Serie A,2017,08/06/2017,23:30,Atletico GO,Ponte Preta,3,0,H,3.19,3.45,2.37,3.21,3.45,2.45,3.02,3.22,2.33
Brazil,Serie A,2017,08/06/2017,23:30,Sao Paulo,Vitoria,2,0,H,1.43,4.58,9.44,1.44,4.6,9.44,1.4,4.33,8.02
Brazil,Serie A,2017,09/06/2017,00:00,Chapecoense-SC,Gremio,3,6,A,2.57,3.22,3.07,2.6,3.24,3.07,2.5,3.07,2.89
Brazil,Serie A,2017,09/06/2017,01:00,Bahia,Cruzeiro,1,0,H,2.37,3.27,3.36,2.48,3.34,3.36,2.31,3.12,3.14
Brazil,Serie A,2017,10/06/2017,20:00,Palmeiras,Fluminense,3,1,H,1.54,4.21,7.19,1.65,4.23,7.5,1.55,3.81,6.11
Brazil,Serie A,2017,10/06/2017,23:00,Vasco,Sport Recife,2,1,H,1.77,3.8,5.06,1.83,3.89,5.3,1.75,3.61,4.54
Brazil,Serie A,2017,11/06/2017,15:00,Botafogo RJ,Coritiba,2,2,D,2.08,3.26,4.22,2.1,3.34,4.33,2.01,3.15,3.91
Brazil,Serie A,2017,11/06/2017,20:00,Avai,Flamengo RJ,1,1,D,3.75,3.33,2.18,3.86,3.4,2.2,3.52,3.2,2.1
Brazil,Serie A,2017,11/06/2017,20:00,Corinthians,Sao Paulo,3,2,H,2,3.27,4.55,2.02,3.36,4.79,1.95,3.18,4.15
Brazil,Serie A,2017,11/06/2017,20:00,Ponte Preta,Chapecoense-SC,3,2,H,1.88,3.51,4.81,1.93,3.58,4.81,1.85,3.36,4.33
Brazil,Serie A,2017,11/06/2017,20:00,Vitoria,Atletico-MG,2,0,H,2.61,3.45,2.84,2.82,3.45,2.84,2.59,3.28,2.64
Brazil,Serie A,2017,11/06/2017,22:30,Cruzeiro,Atletico GO,2,0,H,1.38,4.87,10.23,1.4,5.02,10.5,1.36,4.68,8.48
Brazil,Serie A,2017,11/06/2017,23:00,Atletico-PR,Santos,0,2,A,2.12,3.31,3.97,2.15,3.35,4.2,2.04,3.18,3.77
Brazil,Serie A,2017,13/06/2017,00:00,Gremio,Bahia,1,0,H,1.53,4.15,7.76,1.57,4.15,7.84,1.53,3.89,6.45
Brazil,Serie A,2017,14/06/2017,23:30,Atletico GO,Avai,3,1,H,1.97,3.38,4.52,1.99,3.42,4.52,1.92,3.26,4.12
Brazil,Serie A,2017,14/06/2017,23:30,Atletico-MG,Atletico-PR,0,1,A,1.6,4.11,6.36,1.62,4.11,6.8,1.57,3.85,5.82
Brazil,Serie A,2017,14/06/2017,23:30,Sport Recife,Sao Paulo,0,0,D,2.47,3.35,3.11,2.5,3.35,3.14,2.38,3.19,2.96
Brazil,Serie A,2017,14/06/2017,23:30,Vitoria,Botafogo RJ,2,2,D,2.33,3.29,3.42,2.33,3.29,3.56,2.25,3.11,3.31
Brazil,Serie A,2017,15/06/2017,01:00,Flamengo RJ,Ponte Preta,2,0,H,1.56,4.2,6.95,1.59,4.23,6.95,1.55,3.92,5.96
Brazil,Serie A,2017,15/06/2017,01:45,Chapecoense-SC,Vasco,2,1,H,1.76,3.71,5.31,1.78,3.86,5.4,1.74,3.51,4.75
Brazil,Serie A,2017,15/06/2017,01:45,Corinthians,Cruzeiro,1,0,H,1.91,3.48,4.68,1.95,3.56,5.1,1.82,3.33,4.59
Brazil,Serie A,2017,15/06/2017,01:45,Santos,Palmeiras,1,0,H,2.25,3.44,3.44,2.38,3.54,3.6,2.23,3.23,3.2
Brazil,Serie A,2017,15/06/2017,20:00,Coritiba,Bahia,0,0,D,1.92,3.45,4.67,1.96,3.54,5.2,1.83,3.31,4.56
Brazil,Serie A,2017,16/06/2017,01:00,Fluminense,Gremio,0,2,A,2.54,3.31,3.03,2.66,3.31,3.11,2.45,3.15,2.89
Brazil,Serie A,2017,17/06/2017,20:00,Atletico GO,Atletico-PR,0,1,A,2.32,3.32,3.42,2.5,3.32,3.42,2.28,3.15,3.17
Brazil,Serie A,2017,17/06/2017,23:00,Vasco,Avai,1,0,H,1.46,4.4,8.77,1.5,4.4,8.77,1.46,4.08,7.16
Brazil,Serie A,2017,18/06/2017,01:00,Santos,Ponte Preta,0,0,D,1.76,3.64,5.47,1.77,3.72,6.32,1.68,3.53,5.29
Brazil,Serie A,2017,18/06/2017,15:00,Coritiba,Corinthians,0,0,D,2.81,3.13,2.86,2.89,3.14,2.86,2.71,2.99,2.73
Brazil,Serie A,2017,18/06/2017,20:00,Bahia,Palmeiras,2,4,A,2.47,3.27,3.17,2.5,3.34,3.3,2.38,3.08,3.07
Brazil,Serie A,2017,18/06/2017,20:00,Chapecoense-SC,Botafogo RJ,0,2,A,1.85,3.54,4.91,1.88,3.6,5.2,1.81,3.39,4.49
Brazil,Serie A,2017,18/06/2017,20:00,Fluminense,Flamengo RJ,2,2,D,3.87,3.5,2.08,3.89,3.5,2.15,3.53,3.3,2.08
Brazil,Serie A,2017,18/06/2017,20:00,Sao Paulo,Atletico-MG,1,2,A,1.68,3.99,5.55,1.73,3.99,5.55,1.67,3.73,5.01
Brazil,Serie A,2017,18/06/2017,23:00,Sport Recife,Vitoria,1,3,A,1.69,3.78,5.89,1.73,3.92,5.9,1.68,3.6,5.13
Brazil,Serie A,2017,20/06/2017,00:00,Cruzeiro,Gremio,3,3,D,2.54,3.26,3.08,2.54,3.26,3.6,2.24,3.12,3.27
Brazil,Serie A,2017,21/06/2017,23:30,Vitoria,Santos,0,2,A,2.44,3.31,3.2,2.54,3.32,3.25,2.4,3.14,2.99
