Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,VCH,VCD,VCA,WHH,WHD,WHA
E0,11/08/2017,Arsenal,Leicester,H,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5,1.53,4.55,6.85,1.53,4.5,6.5,1.53,4.2,6.0
E0,12/08/2017,Brighton,Man City,A,11.0,5.5,1.33,11.0,5.25,1.3,8.0,5.3,1.35,10.95,5.55,1.34,10.0,5.5,1.33,10.0,4.8,1.33
E0,12/08/2017,Chelsea,Burnley,A,1.25,6.5,15.0,1.22,6.5,12.5,1.22,6.2,13.5,1.26,6.3,15.25,1.25,6.25,15.0,1.25,5.5,13.0
E0,12/08/2017,Crystal Palace,Huddersfield,A,1.83,3.6,5.0,1.8,3.5,4.75,1.85,3.5,4.3,1.83,3.58,5.11,1.83,3.6,5.0,1.8,3.3,5.0
E0,12/08/2017,Everton,Stoke,H,1.7,3.8,5.75,1.7,3.6,5.5,1.7,3.7,5.0,1.7,3.83,5.81,1.7,3.8,5.75,1.7,3.5,5.5
E0,12/08/2017,Southampton,Swansea,D,1.62,4.0,6.5,1.57,4.0,6.0,1.65,3.8,5.3,1.64,3.94,6.35,1.65,4.0,5.5,1.62,3.6,6.0
E0,12/08/2017,Watford,Liverpool,D,6.0,4.2,1.62,6.0,4.2,1.55,5.5,4.0,1.6,5.74,4.29,1.63,6.0,4.0,1.65,5.5,3.8,1.62
E0,12/08/2017,West Brom,Bournemouth,H,2.4,3.3,3.3,2.4,3.2,3.1,2.3,3.3,3.15,2.46,3.25,3.26,2.5,3.3,3.13,2.5,3.1,3.0
E0,13/08/2017,Man United,West Ham,H,1.3,5.75,12.0,1.28,5.5,11.0,1.33,5.3,8.7,1.33,5.68,10.85,1.3,5.5,11.5,1.3,5.0,11.0
E0,13/08/2017,Newcastle,Tottenham,A,5.5,4.0,1.7,5.25,3.8,1.67,4.8,3.6,1.75,5.35,4.0,1.71,5.5,4.0,1.7,5.0,3.75,1.7
E0,19/08/2017,Bournemouth,Watford,A,2.0,3.6,4.0,1.95,3.5,4.0,1.9,3.5,4.1,1.98,3.63,4.16,2.0,3.6,4.0,1.95,3.4,4.0
