Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,VCH,VCD,VCA,WHH,WHD,WHA
F1,10/08/12,Montpellier,Toulouse,D,1.83,3.4,4.5,1.78,3.4,4.6,1.8,3.25,4.2,1.89,3.36,5.02,1.87,3.4,5.0,1.83,3.2,4.8
F1,11/08/12,Evian Thonon Gaillard,Bordeaux,A,2.75,3.2,2.6,2.8,3.1,2.55,2.8,3.1,2.4,2.93,3.25,2.66,2.9,3.25,2.62,2.75,3.1,2.62
F1,11/08/12,Nancy,Brest,H,2.1,3.2,3.6,2.15,3.0,3.7,2.0,3.15,3.5,2.16,3.21,3.99,2.15,3.2,4.0,2.15,3.0,3.75
F1,11/08/12,Nice,Ajaccio,A,1.91,3.25,4.33,1.9,3.25,4.25,2.0,3.15,3.5,1.97,3.32,4.62,1.98,3.3,4.6,2.0,3.1,4.2
F1,11/08/12,Paris SG,Lorient,D,1.33,4.75,10.0,1.3,4.75,10.5,1.37,4.25,7.5,1.36,5.13,10.67,1.33,4.5,11.5,1.33,4.5,11.0
F1,11/08/12,Rennes,Lyon,A,2.5,3.0,3.0,2.55,3.1,2.8,2.6,3.1,2.6,2.54,3.29,3.06,2.55,3.25,3.0,2.5,3.0,3.0
F1,11/08/12,Sochaux,Bastia,A,2.2,3.2,3.4,2.25,3.1,3.3,2.2,3.1,3.1,2.39,3.19,3.38,2.38,3.2,3.4,2.3,3.1,3.3
F1,11/08/12,St Etienne,Lille,A,3.0,3.0,2.5,3.1,3.1,2.35,2.8,3.1,2.4,3.07,3.17,2.61,3.12,3.1,2.55,2.9,3.0,2.6
F1,11/08/12,Troyes,Valenciennes,A,2.4,3.1,3.1,2.45,3.0,3.0,2.3,3.0,3.0,2.6,3.08,3.17,2.6,3.1,3.12,2.5,3.0,3.0
F1,12/08/12,Reims,Marseille,A,3.5,3.1,2.2,3.6,3.2,2.1,3.4,3.2,2.0,3.61,3.26,2.27,3.6,3.25,2.25,3.4,3.1,2.25
F1,17/08/12,Lille,Nancy,D,1.44,4.0,8.0,1.44,4.2,7.25,1.45,3.9,6.5,1.48,4.3,8.94,1.45,4.4,9.0,1.44,4.0,8.0
F1,18/08/12,Bastia,Reims,H,1.7,3.5,5.25,1.7,3.4,5.25,1.8,3.3,4.2,1.72,3.66,5.97,1.73,3.6,5.75,1.75,3.4,5.0
F1,18/08/12,Brest,Evian Thonon Gaillard,H,2.38,3.0,3.2,2.35,3.0,3.2,2.25,3.1,3.0,2.55,3.1,3.27,2.5,3.12,3.25,2.25,3.2,3.2
F1,18/08/12,Lorient,Montpellier,H,2.7,3.0,2.75,2.8,3.2,2.65,2.62,3.05,2.6,2.8,3.11,2.93,2.75,3.1,2.9,2.8,3.0,2.7
F1,18/08/12,Lyon,Troyes,H,1.44,4.2,7.5,1.44,4.1,7.5,1.35,4.5,7.3,1.45,4.66,8.67,1.44,4.6,9.0,1.36,4.33,9.5
F1,18/08/12,Toulouse,St Etienne,H,2.15,3.0,3.75,2.15,3.1,3.5,2.1,3.1,3.3,2.22,3.08,3.99,2.2,3.1,4.0,2.1,3.1,3.75
F1,18/08/12,Valenciennes,Nice,D,1.91,3.25,4.33,1.9,3.2,4.33,1.9,3.3,3.7,1.99,3.32,4.62,1.98,3.3,4.6,1.91,3.2,4.33
F1,19/08/12,Ajaccio,Paris SG,D,6.0,3.6,1.62,6.25,3.9,1.53,4.4,3.5,1.7,6.55,3.83,1.65,6.5,3.8,1.62,6.5,3.6,1.57
F1,19/08/12,Bordeaux,Rennes,H,2.1,3.1,3.75,2.1,3.1,4.0,2.0,3.2,3.4,2.1,3.28,4.14,2.1,3.25,4.1,2.1,3.1,3.75
F1,19/08/12,Marseille,Sochaux,H,1.44,4.0,8.0,1.48,3.9,7.25,1.5,3.8,5.7,1.48,4.42,8.38,1.45,4.4,8.5,1.44,4.0,8.0
F1,24/08/12,Evian Thonon Gaillard,Lyon,D,3.6,3.2,2.1,3.6,3.25,2.05,3.2,3.2,2.1,3.8,3.32,2.17,3.75,3.3,2.2,3.25,3.25,2.25
F1,25/08/12,Nancy,Toulouse,A,2.38,3.1,3.1,2.35,3.0,3.2,2.4,3.1,2.75,2.44,3.08,3.45,2.4,3.1,3.4,2.4,3.1,3.1
F1,25/08/12,Nice,Lille,D,4.0,3.2,2.0,3.9,3.3,2.05,3.2,3.2,2.1,3.95,3.15,2.2,3.9,3.12,2.2,3.8,3.2,2.05
F1,25/08/12,Reims,Sochaux,H,2.15,3.2,3.5,2.15,3.1,3.5,2.2,3.1,3.1,2.15,3.23,3.91,2.15,3.2,3.9,2.25,3.2,3.2
F1,25/08/12,Rennes,Bastia,H,1.83,3.4,4.5,1.78,3.4,5.0,1.77,3.4,4.25,1.92,3.43,4.8,1.9,3.4,4.75,1.7,3.6,5.0
F1,25/08/12,Troyes,Lorient,D,2.6,3.0,2.9,2.7,3.0,2.75,2.62,3.0,2.62,2.75,3.12,2.92,2.75,3.1,2.9,2.6,3.1,2.8
F1,25/08/12,Valenciennes,Ajaccio,H,1.83,3.25,4.75,1.85,3.25,4.5,1.85,3.4,3.8,1.88,3.39,5.05,1.87,3.4,5.0,1.8,3.5,4.5
F1,26/08/12,Montpellier,Marseille,A,2.3,3.1,3.2,2.35,3.1,3.3,2.45,3.1,2.7,2.38,3.21,3.4,2.38,3.2,3.4,2.4,3.25,2.9
F1,26/08/12,Paris SG,Bordeaux,D,1.57,3.6,6.5,1.6,3.6,6.0,1.7,3.5,4.4,1.59,3.94,6.93,1.6,3.9,7.0,1.62,3.75,5.5
