Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,VCH,VCD,VCA,WHH,WHD,WHA
I1,25/08/12,Fiorentina,Udinese,H,2.05,3.2,3.75,2.05,3.3,3.9,2.0,3.2,3.4,2.1,3.32,4.13,2.1,3.25,4.0,2.1,3.25,3.6
I1,25/08/12,Juventus,Parma,H,1.3,5.0,10.5,1.28,5.0,11.0,1.35,4.5,7.3,1.33,5.28,12.27,1.33,5.25,12.0,1.33,4.8,10.0
I1,26/08/12,Atalanta,Lazio,A,2.4,3.2,3.0,2.4,3.2,2.95,2.6,3.1,2.6,2.47,3.19,3.33,2.45,3.2,3.25,2.5,3.2,2.88
I1,26/08/12,Chievo,Bologna,H,2.1,3.2,3.6,2.1,3.15,3.6,2.2,3.0,3.2,2.23,3.16,3.92,2.2,3.12,3.9,2.15,3.2,3.6
I1,26/08/12,Genoa,Cagliari,H,1.95,3.3,4.0,2.0,3.25,3.8,2.0,3.15,3.45,2.03,3.31,4.37,2.05,3.25,4.3,2.1,3.25,3.6
I1,26/08/12,Milan,Sampdoria,A,1.4,4.5,8.0,1.48,4.1,7.75,1.45,3.9,6.5,1.43,4.69,9.34,1.44,4.6,9.0,1.4,4.4,8.5
I1,26/08/12,Palermo,Napoli,A,3.0,3.25,2.38,3.0,3.4,2.4,2.7,3.2,2.4,3.12,3.34,2.5,3.1,3.3,2.5,2.8,3.3,2.5
I1,26/08/12,Pescara,Inter,A,4.33,3.6,1.8,5.0,3.55,1.7,4.3,3.4,1.75,4.88,3.69,1.84,4.8,3.6,1.83,4.2,3.75,1.8
I1,26/08/12,Roma,Catania,D,1.4,4.5,8.0,1.35,4.75,8.25,1.5,3.8,5.7,1.4,4.94,9.59,1.4,4.8,9.0,1.44,4.5,7.0
I1,26/08/12,Siena,Torino,D,2.25,3.1,3.4,2.25,3.15,3.25,2.2,3.1,3.1,2.36,3.12,3.62,2.3,3.12,3.6,2.25,3.2,3.3
I1,01/09/12,Bologna,Milan,A,3.6,3.2,2.1,3.8,3.25,2.0,3.2,3.2,2.1,3.9,3.34,2.15,3.9,3.3,2.15,3.75,3.3,2.0
I1,01/09/12,Torino,Pescara,H,1.83,3.4,4.5,1.83,3.5,4.6,1.9,3.3,3.7,1.86,3.39,5.3,1.85,3.4,5.25,1.85,3.3,4.5
I1,02/09/12,Cagliari,Atalanta,D,2.3,3.0,3.4,2.2,3.0,3.5,2.1,3.1,3.3,2.38,3.11,3.48,2.3,3.12,3.6,2.1,3.2,3.6
I1,02/09/12,Catania,Genoa,H,2.05,3.25,3.75,2.0,3.3,3.75,2.0,3.3,3.3,2.07,3.27,4.17,2.1,3.25,4.1,2.1,3.25,3.5
I1,02/09/12,Inter,Roma,A,1.95,3.6,3.75,2.0,3.5,3.8,1.85,3.3,3.9,2.05,3.75,3.75,2.0,3.7,3.9,1.95,3.4,3.8
I1,02/09/12,Lazio,Palermo,H,1.67,3.75,5.0,1.67,3.6,5.25,1.7,3.4,4.6,1.7,3.74,6.0,1.7,3.7,5.75,1.75,3.4,5.0
I1,02/09/12,Napoli,Fiorentina,H,1.73,3.5,5.0,1.75,3.5,4.75,1.7,3.5,4.4,1.8,3.67,5.23,1.8,3.6,5.25,1.7,3.5,5.25
I1,02/09/12,Parma,Chievo,H,2.05,3.2,3.8,2.05,3.2,3.7,2.0,3.2,3.4,2.1,3.15,4.44,2.05,3.12,4.33,2.05,3.2,3.75
I1,02/09/12,Sampdoria,Siena,H,1.83,3.4,4.5,1.83,3.3,4.5,1.85,3.3,3.9,1.9,3.44,4.9,1.87,3.4,4.8,1.85,3.3,4.5
I1,02/09/12,Udinese,Juventus,A,5.0,3.5,1.73,5.25,3.5,1.75,3.8,3.4,1.85,5.5,3.48,1.81,5.4,3.4,1.8,4.33,3.4,1.85
I1,15/09/12,Milan,Atalanta,A,1.5,4.0,7.0,1.42,4.1,8.25,1.45,3.9,6.5,1.51,4.3,7.9,1.5,4.3,8.0,1.5,4.0,7.0
I1,15/09/12,Palermo,Cagliari,D,2.2,3.2,3.4,2.25,3.3,3.3,2.2,3.2,3.0,2.29,3.31,3.55,2.25,3.3,3.5,2.2,3.3,3.3
I1,16/09/12,Chievo,Lazio,A,2.8,3.1,2.6,2.85,3.2,2.45,2.7,3.05,2.5,3.04,3.18,2.65,3.0,3.2,2.62,2.9,3.2,2.5
I1,16/09/12,Fiorentina,Catania,H,1.91,3.3,4.2,1.83,3.45,4.25,1.85,3.3,3.9,1.92,3.55,4.61,1.9,3.5,4.6,1.91,3.5,4.0
I1,16/09/12,Genoa,Juventus,A,5.5,3.75,1.62,5.75,3.9,1.62,5.0,3.6,1.6,6.7,3.91,1.62,6.5,3.9,1.62,5.0,4.0,1.65
I1,16/09/12,Napoli,Parma,H,1.55,3.8,6.5,1.5,3.85,6.9,1.55,3.7,5.4,1.54,4.15,7.45,1.53,4.1,7.5,1.6,4.0,5.5
I1,16/09/12,Pescara,Sampdoria,A,2.8,3.1,2.6,2.85,3.1,2.5,2.65,3.05,2.55,3.0,3.2,2.67,3.0,3.2,2.62,2.88,3.2,2.5
I1,16/09/12,Roma,Bologna,A,1.4,4.75,7.5,1.37,4.75,7.7,1.37,4.2,7.2,1.44,4.95,8.0,1.44,4.8,8.0,1.4,4.75,7.0
I1,16/09/12,Siena,Udinese,D,2.5,3.2,2.88,2.45,3.15,2.9,2.5,3.05,2.7,2.59,3.25,3.06,2.55,3.2,3.0,2.5,3.2,2.9
I1,16/09/12,Torino,Inter,A,3.1,3.3,2.3,3.3,3.4,2.2,3.2,3.2,2.1,3.27,3.43,2.36,3.25,3.3,2.3,3.1,3.3,2.3
I1,22/09/12,Juventus,Chievo,H,1.29,5.25,10.0,1.28,5.05,11.0,1.28,5.0,9.0,1.34,5.03,12.88,1.33,5.0,13.0,1.36,4.33,10.0
I1,22/09/12,Parma,Fiorentina,D,2.4,3.2,3.0,2.5,3.3,2.95,2.3,3.1,2.9,2.59,3.2,3.11,2.6,3.12,3.1,2.62,3.1,2.8
I1,23/09/12,Atalanta,Palermo,H,1.83,3.4,4.5,1.85,3.6,4.5,1.85,3.3,3.9,1.85,3.59,5.03,1.83,3.5,5.0,1.83,3.2,4.8
I1,23/09/12,Bologna,Pescara,D,1.73,3.5,5.0,1.67,3.65,5.05,1.7,3.5,4.4,1.81,3.68,5.13,1.75,3.6,5.25,1.8,3.2,5.0
I1,23/09/12,Cagliari,Roma,A,3.1,3.5,2.2,3.1,3.5,2.15,2.8,3.2,2.3,3.47,3.58,2.21,3.4,3.5,2.2,3.3,3.2,2.25
I1,23/09/12,Catania,Napoli,D,2.9,3.3,2.38,3.2,3.3,2.2,2.9,3.1,2.3,3.29,3.38,2.38,3.25,3.3,2.38,3.1,3.1,2.4
