Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,VCH,VCD,VCA,WHH,WHD,WHA
SP1,18/08/17,Leganes,Alaves,H,2.05,3.2,4.1,2.05,3.1,4.1,2.1,3.4,3.5,2.03,3.25,4.52,2.05,3.2,4.4,2.05,3.1,4.0
SP1,18/08/17,Valencia,Las Palmas,H,1.75,3.8,4.5,1.75,3.9,4.6,1.75,3.6,4.8,1.78,4.01,4.83,1.8,4.0,4.6,1.8,3.75,4.2
SP1,19/08/17,Celta,Sociedad,A,2.38,3.25,3.2,2.4,3.3,3.0,2.5,3.3,2.85,2.44,3.4,3.16,2.4,3.4,3.13,2.4,3.4,2.9
SP1,19/08/17,Girona,Ath Madrid,D,8.0,4.33,1.45,7.5,4.33,1.45,7.2,4.4,1.45,8.36,4.38,1.49,7.5,4.3,1.5,8.0,4.2,1.44
SP1,19/08/17,Sevilla,Espanol,D,1.62,4.0,5.5,1.62,3.9,5.75,1.55,4.0,6.2,1.62,4.17,6.18,1.65,4.0,5.75,1.67,3.6,5.5
SP1,20/08/17,Ath Bilbao,Getafe,D,1.5,4.0,7.5,1.48,4.25,7.0,1.5,4.2,6.5,1.53,4.37,7.31,1.5,4.2,7.0,1.5,4.0,7.0
SP1,20/08/17,Barcelona,Betis,H,1.17,8.0,15.0,1.18,7.5,14.5,1.17,7.5,15.0,1.22,7.35,15.5,1.2,7.0,13.0,1.22,6.0,13.0
SP1,20/08/17,La Coruna,Real Madrid,A,9.5,5.75,1.3,9.25,5.75,1.3,7.5,5.5,1.35,10.26,5.79,1.33,9.5,5.75,1.3,11.0,4.5,1.33
SP1,21/08/17,Levante,Villarreal,H,3.25,3.25,2.3,3.25,3.2,2.3,3.3,3.35,2.2,3.36,3.24,2.36,3.25,3.25,2.3,3.1,3.1,2.4
SP1,21/08/17,Malaga,Eibar,A,2.1,3.3,3.7,2.15,3.3,3.5,2.1,3.4,3.5,2.24,3.36,3.49,2.15,3.3,3.5,2.2,3.3,3.3
SP1,25/08/17,Betis,Celta,H,2.2,3.4,3.4,2.25,3.3,3.3,2.4,3.3,2.95,2.28,3.56,3.32,2.3,3.5,3.25,2.2,3.25,3.3
SP1,25/08/17,Sociedad,Villarreal,H,2.05,3.4,3.75,2.1,3.3,3.7,2.2,3.35,3.3,2.11,3.46,3.87,2.15,3.4,3.75,2.1,3.3,3.6
SP1,26/08/17,Alaves,Barcelona,A,10.0,5.75,1.29,10.0,5.5,1.3,8.0,5.5,1.33,10.55,5.8,1.33,11.5,5.75,1.3,11.0,5.0,1.3
SP1,26/08/17,Girona,Malaga,H,2.15,3.25,3.6,2.15,3.2,3.7,2.2,3.35,3.3,2.19,3.37,3.75,2.15,3.3,3.75,2.2,3.3,3.3
